movie_slug,person_slug,role,billing,character
-1963,marcello-mastroianni,cast,1,Guido Anselmi
-1963,anouk-aimee,cast,2,Luisa Anselmi
-1963,claudia-cardinale,cast,3,Claudia
-1963,sandra-milo,cast,4,Carla
-1963,rossella-falk,cast,5,Rossella
-1963,barbara-steele,cast,6,Gloria Morin
-1963,madeleine-lebeau,cast,7,Madeleine - l'attrice francese
-1963,caterina-boratto,cast,8,La signora misteriosa
-1963,eddra-gale,cast,9,La Saraghina
-1963,guido-alberti,cast,10,Pace - il produttore
-1963,mario-conocchia,cast,11,Conocchia - il direttore di produzione
-1963,bruno-agostini,cast,12,Bruno - il secondo segretario di produzione
-1963,cesarino-miceli-picardi,cast,13,Cesarino - l'ispettore di produzione
-1963,jean-rougeul,cast,14,Carini - il critico cinematografico
-1963,mario-pisu,cast,15,Mario Mezzabotta
-1963,yvonne-casadei,cast,16,Jacqueline Bonbon
-1963,ian-dallas,cast,17,Il partner della telepata
-1963,mino-doro,cast,18,L'agente di Claudia
-1963,nadia-sanders,cast,19,Nadine - la Hostess
-1963,georgia-simmons,cast,20,La nonna di Guido
-1963,federico-fellini,director,1,
-1963,federico-fellini,writer,1,
-1963,ennio-flaiano,writer,2,
-1963,tullio-pinelli,writer,3,
-1963,brunello-rondi,writer,4,
10-cloverfield-lane,john-goodman,cast,1,Howard
10-cloverfield-lane,mary-elizabeth-winstead,cast,2,Michelle
10-cloverfield-lane,john-gallagher-jr,cast,3,Emmett
10-cloverfield-lane,douglas-m-griffin,cast,4,Driver
10-cloverfield-lane,suzanne-cryer,cast,5,Woman
10-cloverfield-lane,bradley-cooper,cast,6,Ben
10-cloverfield-lane,sumalee-montano,cast,7,Voice on Radio
10-cloverfield-lane,frank-mottek,cast,8,Radio Broadcaster
10-cloverfield-lane,kayla-bechor,cast,9,Paper girl
10-cloverfield-lane,dan-trachtenberg,director,1,
10-cloverfield-lane,josh-campbell,writer,1,
10-cloverfield-lane,matt-stuecken,writer,2,
10-cloverfield-lane,damien-chazelle,writer,3,
10-things-i-hate-about-you,heath-ledger,cast,1,Patrick Verona
10-things-i-hate-about-you,julia-stiles,cast,2,Kat Stratford
10-things-i-hate-about-you,joseph-gordon-levitt,cast,3,Cameron James
10-things-i-hate-about-you,larisa-oleynik,cast,4,Bianca Stratford
10-things-i-hate-about-you,david-krumholtz,cast,5,Michael Eckman
10-things-i-hate-about-you,andrew-keegan,cast,6,Joey Donner
10-things-i-hate-about-you,susan-may-pratt,cast,7,Mandella
10-things-i-hate-about-you,gabrielle-union,cast,8,Chastity
10-things-i-hate-about-you,larry-miller,cast,9,Walter Stratford
10-things-i-hate-about-you,daryl-mitchell,cast,10,Mr. Morgan
10-things-i-hate-about-you,allison-janney,cast,11,Ms. Perky
10-things-i-hate-about-you,david-leisure,cast,12,Mr. Chapin
10-things-i-hate-about-you,greg-jackson-2,cast,13,Scruvy
10-things-i-hate-about-you,kyle-cease,cast,14,Bogey Lowenstein
10-things-i-hate-about-you,terence-heuston,cast,15,Derek
10-things-i-hate-about-you,cameron-fraser,cast,16,Trevor
10-things-i-hate-about-you,eric-riedmann,cast,17,Audio Visual Guy
10-things-i-hate-about-you,quinn-maixner,cast,18,Beautiful Jock
10-things-i-hate-about-you,demegio-kimbrough,cast,19,Coffee Kid
10-things-i-hate-about-you,todd-butler,cast,20,Coffee Kid
10-things-i-hate-about-you,gil-junger,director,1,
10-things-i-hate-about-you,karen-mccullah,writer,1,
10-things-i-hate-about-you,kirsten-smith,writer,2,
10-things-i-hate-about-you,william-shakespeare,writer,3,
10000-bc,camilla-belle,cast,1,Evolet
10000-bc,steven-strait,cast,2,D'Leh
10000-bc,marco-khan,cast,3,One-Eye
10000-bc,cliff-curtis,cast,4,Tic'Tic
10000-bc,joel-virgel,cast,5,Nakudu
10000-bc,affif-ben-badra,cast,6,Warlord
10000-bc,mo-zinal,cast,7,Ka'Ren
10000-bc,nathanael-baring,cast,8,Baku
10000-bc,mona-hammond,cast,9,Old Mother
10000-bc,reece-ritchie,cast,10,Moha
10000-bc,joel-fry,cast,11,Lu'kibu
10000-bc,omar-sharif,cast,12,Narrator
10000-bc,kristian-beazley,cast,13,D'Leh's Father
10000-bc,junior-oliphant,cast,14,Tudu
10000-bc,louise-tuu,cast,15,Baku's Mother
10000-bc,jacob-renton,cast,16,Young D'Leh
10000-bc,grayson-hunt-urwin,cast,17,Young Evolet
10000-bc,farouk-valley-omar,cast,18,High Priest
10000-bc,boubacar-babiane,cast,19,Quina
10000-bc,joe-vaz,cast,20,Chief of Guards
10000-bc,roland-emmerich,director,1,
10000-bc,roland-emmerich,writer,1,
10000-bc,harald-kloser,writer,2,
10000-km,natalia-tena,cast,1,Alex
10000-km,david-verdaguer,cast,2,Sergi
10000-km,sirius-flatz,cast,3,Friend of Alex
10000-km,carlos-marques-marcet,director,1,
10000-km,carlos-marques-marcet,writer,1,
10000-km,clara-roquet,writer,2,
10000-km,natalia-tena,writer,3,
10000-km,david-verdaguer,writer,4,
101-dalmatians,glenn-close,cast,1,Cruella DeVil
101-dalmatians,jeff-daniels,cast,2,Roger
101-dalmatians,joely-richardson,cast,3,Anita
101-dalmatians,joan-plowright,cast,4,Nanny
101-dalmatians,hugh-laurie,cast,5,Jasper
101-dalmatians,mark-williams,cast,6,Horace
101-dalmatians,john-shrapnel,cast,7,Skinner
101-dalmatians,tim-mcinnerny,cast,8,Alonzo
101-dalmatians,hugh-fraser,cast,9,Frederick
101-dalmatians,zohren-weiss,cast,10,Herbert
101-dalmatians,mark-haddigan,cast,11,Alan
101-dalmatians,michael-percival-2,cast,12,Police Inspector
101-dalmatians,neville-phillips,cast,13,Minister
101-dalmatians,john-evans-8,cast,14,Pensioner with Bulldog
101-dalmatians,hilda-braid,cast,15,Woman on Park Bench
101-dalmatians,margery-mason,cast,16,Woman on Park Bench
101-dalmatians,john-benfield,cast,17,Doorman
101-dalmatians,andrew-readman,cast,18,Police Officer #1
101-dalmatians,john-peters-2,cast,19,Police Officer #2
101-dalmatians,bill-stewart,cast,20,Arresting Officer
101-dalmatians,stephen-herek,director,1,
101-dalmatians,dodie-smith,writer,1,
101-dalmatians,john-hughes,writer,2,
101-dalmatians-1961,rod-taylor,cast,1,Pongo
101-dalmatians-1961,betty-lou-gerson,cast,2,"Cruella De Vil, Miss Birdwell"
101-dalmatians-1961,j-pat-omalley,cast,3,"Colonel, Jasper, Mechanic"
101-dalmatians-1961,martha-wentworth,cast,4,"Nanny, Queenie, Lucy"
101-dalmatians-1961,ben-wright,cast,5,"Roger Radcliffe, Man"
101-dalmatians-1961,cate-bauer,cast,6,Perdita
101-dalmatians-1961,david-frankham,cast,7,"Sgt. Tibbs, Scottie"
101-dalmatians-1961,frederick-worlock,cast,8,"Horace, Inspector Graves"
101-dalmatians-1961,lisa-davis,cast,9,Anita Radcliffe-Dearly
101-dalmatians-1961,tom-conway,cast,10,"Quizmaster, Collie"
101-dalmatians-1961,tudor-owen,cast,11,"Towser, Percival Fauncewater"
101-dalmatians-1961,george-pelling,cast,12,Danny
101-dalmatians-1961,ramsay-hill,cast,13,"Television Announcer, Labrador"
101-dalmatians-1961,sylvia-marriott,cast,14,"Cadpig, Countess"
101-dalmatians-1961,queenie-leonard,cast,15,Princess
101-dalmatians-1961,marjorie-bennett,cast,16,Duchess
101-dalmatians-1961,mickey-maga,cast,17,Patch
101-dalmatians-1961,barbara-beaird,cast,18,Rolly
101-dalmatians-1961,mimi-gibson,cast,19,Lucky
101-dalmatians-1961,sandra-abbott,cast,20,Penny
101-dalmatians-1961,clyde-geronimi,director,1,
101-dalmatians-1961,hamilton-luske,director,2,
101-dalmatians-1961,wolfgang-reitherman,director,3,
101-dalmatians-1961,bill-peet,writer,1,
101-dalmatians-1961,dodie-smith,writer,2,
102-dalmatians,glenn-close,cast,1,Cruella de Vil
102-dalmatians,gerard-depardieu,cast,2,Jean-Pierre Le Pelt
102-dalmatians,ioan-gruffudd,cast,3,Kevin Sheperd
102-dalmatians,alice-evans,cast,4,Chloe Simon
102-dalmatians,tim-mcinnerny,cast,5,Alonzo
102-dalmatians,eric-idle,cast,6,Waddlesworth
102-dalmatians,ben-crompton,cast,7,Ewan
102-dalmatians,carol-macready,cast,8,Agnes
102-dalmatians,ian-richardson,cast,9,Mr. Torte
102-dalmatians,jim-carter,cast,10,Detective Armstrong
