movie_slug,award_name,result,year,person_name,person_slug
-1963,"Academy Award for Best Art Direction, Black and White",nominee,1964,Piero Gherardi,
-1963,"Academy Award for Best Costume Design, Black-and-White",nominee,1964,Piero Gherardi,
-1963,Academy Award for Best International Feature Film,nominee,1964,,
-1963,"Academy Award for Best Writing, Original Screenplay",nominee,1964,Brunello Rondi,brunello-rondi
-1963,"Academy Award for Best Writing, Original Screenplay",nominee,1964,Ennio Flaiano,ennio-flaiano
-1963,"Academy Award for Best Writing, Original Screenplay",nominee,1964,Federico Fellini,federico-fellini
-1963,"Academy Award for Best Writing, Original Screenplay",nominee,1964,Tullio Pinelli,tullio-pinelli
-1963,"Academy Award for Best Costume Design, Black-and-White",win,1964,Piero Gherardi,
-1963,Academy Award for Best International Feature Film,win,1964,,
12-angry-men,"Academy Award for Best Writing, Adapted Screenplay",nominee,1958,Reginald Rose,reginald-rose
12-years-a-slave,Academy Award for Best Actor,nominee,2014,Chiwetel Ejiofor,chiwetel-ejiofor
12-years-a-slave,Academy Award for Best Costume Design,nominee,2014,Patricia Norris,
12-years-a-slave,Academy Award for Best Film Editing,nominee,2014,Joe Walker,
12-years-a-slave,Academy Award for Best Production Design,nominee,2014,Adam Stockhausen,
12-years-a-slave,Academy Award for Best Production Design,nominee,2014,Alice Baker,
12-years-a-slave,Academy Award for Best Supporting Actor,nominee,2014,Michael Fassbender,michael-fassbender
12-years-a-slave,Academy Award for Best Supporting Actress,nominee,2014,Lupita Nyong'o,
12-years-a-slave,"Academy Award for Best Writing, Adapted Screenplay",nominee,2014,John Ridley,john-ridley
12-years-a-slave,Academy Award for Best Supporting Actress,win,2014,Lupita Nyong'o,
12-years-a-slave,"Academy Award for Best Writing, Adapted Screenplay",win,2014,John Ridley,john-ridley
127-hours,Academy Award for Best Actor,nominee,2011,James Franco,james-franco
127-hours,Academy Award for Best Film Editing,nominee,2011,Jon Harris,
127-hours,Academy Award for Best Original Score,nominee,2011,A. R. Rahman,
127-hours,"Academy Award for Best Writing, Adapted Screenplay",nominee,2011,Danny Boyle,danny-boyle
127-hours,"Academy Award for Best Writing, Adapted Screenplay",nominee,2011,Simon Beaufoy,simon-beaufoy
13th,Academy Award for Best Documentary Feature Film,nominee,2017,Ava DuVernay,ava-duvernay
13th,Academy Award for Best Documentary Feature Film,nominee,2017,Howard Barish,
13th,Academy Award for Best Documentary Feature Film,nominee,2017,Spencer Averick,spencer-averick
20-days-in-mariupol,Academy Award for Best Documentary Feature Film,nominee,2024,Michelle Mizner,
20-days-in-mariupol,Academy Award for Best Documentary Feature Film,nominee,2024,Mstyslav Chernov,mstyslav-chernov
20-days-in-mariupol,Academy Award for Best Documentary Feature Film,nominee,2024,Raney Aronson-Rath,
20-days-in-mariupol,Academy Award for Best Documentary Feature Film,win,2024,Michelle Mizner,
20-days-in-mariupol,Academy Award for Best Documentary Feature Film,win,2024,Mstyslav Chernov,mstyslav-chernov
20-days-in-mariupol,Academy Award for Best Documentary Feature Film,win,2024,Raney Aronson-Rath,
20-feet-from-stardom,Academy Award for Best Documentary Feature Film,win,2014,Caitrin Rogers,
20-feet-from-stardom,Academy Award for Best Documentary Feature Film,win,2014,Gil Friesen,
20-feet-from-stardom,Academy Award for Best Documentary Feature Film,win,2014,Morgan Neville,morgan-neville-2
2001-a-space-odyssey,Academy Award for Best Production Design,nominee,1969,Anthony Masters,
2001-a-space-odyssey,Academy Award for Best Production Design,nominee,1969,Ernest Archer,
2001-a-space-odyssey,Academy Award for Best Production Design,nominee,1969,Harry Lange,
2001-a-space-odyssey,Academy Award for Best Visual Effects,nominee,,,
2001-a-space-odyssey,"Academy Award for Best Writing, Original Screenplay",nominee,1969,Arthur C. Clarke,arthur-c-clarke
2001-a-space-odyssey,"Academy Award for Best Writing, Original Screenplay",nominee,1969,Stanley Kubrick,stanley-kubrick
