movie_slug,genre_name
-1963,Drama
10-cloverfield-lane,Drama
10-cloverfield-lane,Horror
10-cloverfield-lane,Sci-Fi
10-cloverfield-lane,Thriller
10-things-i-hate-about-you,Comedy
10-things-i-hate-about-you,Drama
10-things-i-hate-about-you,Romance
10-years,Comedy
10-years,Drama
10-years,Romance
100-bloody-acres,Comedy
100-bloody-acres,Horror
100-nights-of-hero,Drama
100-nights-of-hero,Fantasy
100-nights-of-hero,Romance
1000-times-good-night,Drama
1000-times-good-night,War
10000-bc,Action
10000-bc,Adventure
10000-bc,Drama
10000-bc,Fantasy
10000-bc,History
10000-km,Drama
10000-km,Romance
101-dalmatians,Adventure
101-dalmatians,Comedy
101-dalmatians,Crime
101-dalmatians,Family
101-dalmatians-1961,Adventure
101-dalmatians-1961,Animation
101-dalmatians-1961,Comedy
101-dalmatians-1961,Family
102-dalmatians,Adventure
102-dalmatians,Comedy
102-dalmatians,Family
12,Crime
12,Drama
12,Thriller
12-angry-men,Crime
12-angry-men,Drama
12-hour-shift,Comedy
12-hour-shift,Horror
12-hour-shift,Thriller
12-oclock-boys,Biography
12-oclock-boys,Crime
12-oclock-boys,Documentary
12-oclock-boys,Sport
12-rounds,Action
12-rounds,Crime
12-rounds,Thriller
12-years-a-slave,Biography
12-years-a-slave,Drama
12-years-a-slave,History
1208-east-of-bucharest,Comedy
1208-east-of-bucharest,Drama
127-hours,Biography
127-hours,Drama
13-assassins,Action
13-assassins,Adventure
13-assassins,Drama
13-going-on-30,Comedy
13-going-on-30,Fantasy
13-going-on-30,Romance
13-minutes,Biography
13-minutes,Drama
13-minutes,War
13th,Crime
13th,Documentary
13th,History
1408,Fantasy
1408,Horror
1408,Mystery
16-blocks,Action
16-blocks,Drama
16-blocks,Thriller
1900,Drama
1900,History
1917,Drama
1917,War
1922,Crime
1922,Drama
1922,Horror
1922,Mystery
1922,Thriller
1945,Drama
1971,Documentary
1971,History
1971,Thriller
1982-2019,Drama
1982-2019,History
1982-2019,Romance
1982-2019,War
1985,Drama
1br,Drama
1br,Horror
1br,Thriller
2-days-in-new-york,Comedy
