movie_slug,imdb_id,language,oscar_wins,oscar_nominations
-1963,tt0056801,Italian,2,7
10-things-i-hate-about-you,tt0147800,English,0,0
101-dalmatians,tt0115433,English,0,0
101-dalmatians-1961,tt0115433,English,0,0
12-angry-men,tt0050083,English,0,1
12-years-a-slave,tt2024544,English,2,8
127-hours,tt1542344,English,0,5
13-assassins,tt0057212,Japanese,0,0
13-going-on-30,tt0337563,English,0,0
13th,tt5895028,English,0,3
1408,tt0450385,English,0,0
16-blocks,tt0450232,English,0,0
20-days-in-mariupol,tt24082438,Ukrainian,3,3
20-feet-from-stardom,tt2396566,Japanese,3,0
2000-meters-to-andriivka,tt34964205,Ukrainian,0,0
20000-days-on-earth,tt2920540,English,0,0
20000-species-of-bees,tt21113962,Basque,0,0
2001-a-space-odyssey,tt0062622,English,1,6
20th-century-women,tt4385888,English,0,1
21,tt0224451,,0,0
21-grams,tt0315733,English,0,2
24-hour-party-people,tt0274309,English,0,0
28-weeks-later,tt0463854,English,0,0
28-years-later-the-bone-temple,tt32141377,English,0,0
3-godfathers,tt0040064,English,0,0
3-idiots,tt1187043,Hindi,0,0
300,tt0416449,English,0,0
310-to-yuma,tt0050086,English,0,0
310-to-yuma-1957,tt0050086,English,0,0
32-sounds,tt16294920,,0,0
35-shots-of-rum,tt1100048,German,0,0
4-little-girls,tt0118540,English,0,2
4-months-3-weeks-and-2-days,tt1032846,Romanian,0,0
42nd-street,tt0024034,English,0,1
45-years,tt3544082,English,0,1
45365,tt1337139,English,0,0
48-hrs,tt0083511,English,0,0
49-up,tt0473434,,0,0
50-first-dates,tt0343660,English,0,0
500-days-of-summer,tt1022603,English,0,0
5050,tt0022602,,0,0
56-up,tt2147134,,0,0
71,tt2614684,English,0,0
76-days,tt12801326,,0,0
a-beautiful-mind,tt0268978,English,2,8
a-bronx-tale,tt0106489,English,0,0
a-bugs-life,tt0120623,English,0,1
a-canterbury-tale,tt0036695,English,0,0
a-christmas-carol,tt0029992,English,0,0
a-christmas-story,tt0085334,English,0,0
a-christmas-tale,tt0993789,French,0,0
a-civil-action,tt0120633,English,0,2
a-fantastic-woman,tt5639354,Spanish,1,1
a-film-unfinished,tt1568923,English,0,0
a-fish-called-wanda,tt0095159,English,1,3
a-fistful-of-dollars,tt0058461,English,0,0
a-ghost-story,tt6265828,English,0,0
a-girl-walks-home-alone-at-night,tt2326554,Persian,0,0
a-good-year,tt0401445,English,0,0
a-hard-days-night,tt0058182,English,0,2
a-hero,tt11777738,Persian,0,0
a-hidden-life,tt5827916,English,0,0
a-hijacking,tt2216240,Somali,0,0
a-history-of-violence,tt0399146,English,0,2
a-knights-tale,tt0183790,English,0,0
a-league-of-their-own,tt0104694,English,0,0
a-little-prayer,tt22004186,English,0,0
a-little-princess,tt0008196,,0,0
a-mighty-wind,tt0310281,English,0,0
a-nice-indian-boy,tt16431330,English,0,0
a-night-of-knowing-nothing,tt14812784,Bangla,0,0
a-nightmare-on-elm-street-1984,tt0087800,English,0,0
a-nightmare-on-elm-street-3-dream-warriors,tt0093629,English,0,0
a-nightmare-on-elm-street-4-the-dream-master,tt0095742,English,0,0
a-perfect-murder,tt0120787,English,0,0
a-pigeon-sat-on-a-branch-reflecting-on-existence,tt1883180,Swedish,0,0
a-poet,tt0258056,Indonesian,0,0
a-prophet,tt1235166,Corsican,0,1
a-quiet-place,tt6347308,,0,0
a-real-pain,tt21823606,English,1,2
a-river-runs-through-it,tt0105265,English,1,3
