movie_slug,subgenre_name
-1963,comedy drama
-1963,drama film
-1963,fantasy film
10-things-i-hate-about-you,comedy drama
10-things-i-hate-about-you,coming-of-age film
10-things-i-hate-about-you,romantic comedy film
10-things-i-hate-about-you,teen film
101-dalmatians,comedy film
101-dalmatians,family film
101-dalmatians,fantasy film
101-dalmatians-1961,comedy film
101-dalmatians-1961,family film
101-dalmatians-1961,fantasy film
12-angry-men,drama film
12-angry-men,huis-clos film
12-angry-men,trial film
12-years-a-slave,biographical film
12-years-a-slave,drama film
127-hours,biographical film
127-hours,docudrama
127-hours,drama film
127-hours,independent film
127-hours,survival film
13-assassins,historical film
13-assassins,samurai cinema
13-going-on-30,coming-of-age film
13-going-on-30,fantasy film
13-going-on-30,romantic comedy film
13-going-on-30,teen film
13th,documentary film
1408,drama film
1408,ghost film
1408,horror film
1408,psychological horror film
1408,thriller film
16-blocks,action film
16-blocks,buddy cop film
16-blocks,crime film
16-blocks,drama film
20-days-in-mariupol,documentary film
20-days-in-mariupol,war film
20-feet-from-stardom,documentary film
20-feet-from-stardom,musical film
2000-meters-to-andriivka,documentary film
20000-days-on-earth,biographical film
20000-days-on-earth,documentary film
20000-species-of-bees,drama film
20000-species-of-bees,LGBTQ-related film
2001-a-space-odyssey,arthouse science fiction film
2001-a-space-odyssey,epic film
2001-a-space-odyssey,mystery film
2001-a-space-odyssey,space adventure film
20th-century-women,comedy film
20th-century-women,drama film
21-grams,crime film
21-grams,drama film
24-hour-party-people,biographical film
24-hour-party-people,comedy film
24-hour-party-people,drama film
24-hour-party-people,musical film
28-weeks-later,horror film
28-weeks-later,post-apocalyptic film
28-weeks-later,science fiction film
28-weeks-later,zombie film
28-years-later-the-bone-temple,dystopian film
28-years-later-the-bone-temple,horror film
28-years-later-the-bone-temple,post-apocalyptic film
28-years-later-the-bone-temple,science fiction film
28-years-later-the-bone-temple,science fiction horror film
3-godfathers,Christmas film
3-godfathers,drama film
3-godfathers,Western film
3-idiots,buddy film
3-idiots,comedy drama
3-idiots,comedy film
3-idiots,drama film
3-idiots,musical film
3-idiots,romance film
300,action film
300,classical antiquity film
300,drama film
300,epic film
300,sword-and-sandal film
300,war film
310-to-yuma,Western film
310-to-yuma-1957,Western film
35-shots-of-rum,drama film
4-little-girls,biographical film
4-little-girls,documentary film
4-little-girls,independent film
4-months-3-weeks-and-2-days,drama film
42nd-street,drama film
42nd-street,musical film
45-years,drama film
45365,documentary film
48-hrs,action film
48-hrs,buddy film
48-hrs,comedy film
48-hrs,crime film
48-hrs,thriller film
49-up,documentary film
50-first-dates,romantic comedy film
500-days-of-summer,comedy drama
500-days-of-summer,comedy film
500-days-of-summer,coming-of-age film
500-days-of-summer,romantic comedy
56-up,documentary film
71,action film
71,crime film
71,drama film
71,thriller film
71,war film
76-days,documentary film
a-beautiful-mind,biographical film
a-beautiful-mind,drama film
a-bronx-tale,action film
a-bronx-tale,comedy drama
a-bronx-tale,comedy film
a-bronx-tale,coming-of-age film
a-bronx-tale,crime comedy film
a-bronx-tale,crime drama film
a-bronx-tale,crime film
a-bronx-tale,crime thriller film
a-bronx-tale,drama film
a-bronx-tale,gangster film
a-bronx-tale,melodrama
a-bronx-tale,mystery film
a-bronx-tale,romance film
a-bugs-life,adventure film
a-bugs-life,children's film
a-bugs-life,comedy film
a-canterbury-tale,comedy drama
a-canterbury-tale,drama film
a-canterbury-tale,war film
a-christmas-carol,Christmas film
a-christmas-carol,drama film
a-christmas-carol,fantasy film
a-christmas-carol,ghost film
a-christmas-story,Christmas film
a-christmas-story,comedy film
a-christmas-tale,Christmas film
a-christmas-tale,comedy drama
a-christmas-tale,drama film
a-civil-action,drama film
a-civil-action,trial film
a-fantastic-woman,drama film
a-fantastic-woman,LGBTQ-related film
a-film-unfinished,documentary film
a-fish-called-wanda,black comedy film
a-fish-called-wanda,crime comedy film
a-fish-called-wanda,heist film
a-fistful-of-dollars,action film
a-fistful-of-dollars,Spaghetti Western
a-fistful-of-dollars,Western film
a-ghost-story,drama film
a-ghost-story,fantasy film
a-ghost-story,ghost film
a-ghost-story,melodrama
a-ghost-story,supernatural film
a-girl-walks-home-alone-at-night,horror film
a-girl-walks-home-alone-at-night,vampire film
a-good-year,comedy drama
a-good-year,romantic comedy
a-hard-days-night,comedy film
a-hard-days-night,musical film
a-hero,drama film
a-hero,thriller film
a-hidden-life,biographical film
a-hidden-life,drama film
a-hidden-life,romance film
a-hidden-life,war film
a-hijacking,drama film
a-hijacking,pirate film
a-hijacking,thriller film
a-history-of-violence,action film
a-history-of-violence,crime thriller film
a-history-of-violence,detective film
a-history-of-violence,drama film
a-history-of-violence,thriller film
a-knights-tale,action film
a-knights-tale,adventure film
a-knights-tale,comedy film
a-knights-tale,knight film
a-knights-tale,romance film
a-league-of-their-own,comedy drama
a-league-of-their-own,comedy film
a-league-of-their-own,female buddy film
a-little-prayer,drama film
a-little-princess,drama film
a-little-princess,silent film
a-mighty-wind,comedy film
a-mighty-wind,LGBTQ-related film
a-nice-indian-boy,comedy film
a-nice-indian-boy,drama film
a-nice-indian-boy,LGBTQ-related film
a-nice-indian-boy,romance film
